arrival,到着
extra,余分の、特別の、追加の
assess,（価値や重要性）を評価する
clerical,事務の、書記の
institution,機関、団体
substance,物質、実体
awareness,意識、気づいていること
discount,割引／~を無視する
pile,積み重ねた山／~を積み重ねる
shipment,（商品の）発送、船積み
installation,インストール、取り付け
occupation,職業
receipt,レシート、領収書
chemical,薬品、化学物質
pharmacy,薬局
media,媒体、マスメディア
railing,手すり、ガードレール
campaign,キャンペーン
transaction,取引
colleague,同僚
appropriate,適切な、適した
influence,影響、作用
competitive,競争の、他に負けない、競争力がある
trend,動向、トレンド
fare,運賃、乗車料金
diner,食事客
implement,（計画や政策）を実行する
microscope,顕微鏡
exclusively,限定で、独占的に
stool,（背もたれのない）いす
recipient,受領者、受取人
fellow,仲間
affordable,手頃な価格の、入手可能な
party,グループ、当事者
hospitality,おもてなし、接待
bureau,案内所、事務局
wheelbarrow,手押し車
leave,休暇、許可
guidelines,指針、ガイドライン
series,連続、シリーズ
tourism,観光事業、観光客
behavior,振る舞い、行動
resource,資源
instrument,楽器、道具、器具
debate,議論、討論
concentration,集中
edition,版
wealth,豊富さ、富
minutes,議事録、分
cashier,レジ
journey,旅行、行程
spectator,観客
bargain,お買い得品、取引
supervisor,上司、監督者
generation,世代、代、同時代
draft,原稿、下書き
completion,完了、完成
forecast,予測、予報
board,板、役員会／登場する
comfort,快適さ、満足、慰め
savings,貯蓄、節約
division,部門、分割、課
kitchenware,台所用品
task,仕事、課題
ceiling,天井
excuse,弁解、口実
deposit,頭金、保証金／預け入れる
difficulty,困難、問題点
measure,対策、手段
drawing,抽選会、素描
rate,割合、料金
presence,存在感、出席
chief,長、上司
economy,経済、節約
output,生産高、産出
shelter,避難所、収容施設
asset,財産、強み
workplace,職場
alert,警報、警告／知らせる
professor,教授
drawer,引き出し
memorandum,社内文書、覚え書き
packet,小包、袋
clerk,事務員、受付係
productivity,生産性
plant,工場
position,位置、地位、職
cancellation,取り消し、キャンセル
wing,ウイング、ビルの一角
lawn,芝生
envelope,封筒
traffic,交通、通行
copy,（本・雑誌などの）冊・部、写し
work,作品、仕事
authority,権限、権威、当局
amount,量
solution,解決策、解決
pedestrian,歩行者
official,役人、職員
scale,規模、目盛り
disease,病気
shortage,不足
factor,要因、要素
venue,会場、開催地
prospect,見通し、可能性
suburb,郊外
priority,優先順位、重要なこと
distinctive,独自の、特色となる
tenant,賃借人、入居者
persuasion,説得、説得力
reservation,予約
acceptance,受諾、受け入れ、採用、合格
slope,坂、斜面
ensure,保証する、請け合う
agenda,議題、議事日程
discretion,裁量の自由、分別
evaluation,評価
urgent,緊急の
lack,不足、欠乏
analyst,アナリスト、専門の分析者
architect,建築家
sponsor,~のスポンサーをする／スポンサー
secretary,秘書
service,業務、サービス、奉仕
aisle,通路
manager,マネージャー、経営者
medicine,薬
variety,多様性
workload,仕事量
share,~をシェアする、共有する
negotiation,交渉
consultant,コンサルタント、顧問
faucet,蛇口、注ぎ口
critical,批判的な、危機的な、重大な
appointment,約束、予約
fluent,流暢な、堪能な
order,順番、注文
deal,取引／扱う、~を取引する
checkup,検査、健康診断
state-of-the-art,最先端の、最新の
content,内容、中身／満足している
carefully,慎重に
anniversary,~周年、記念日
contrary,正反対の
automatically,自動的に
package,（梱包した）荷物
destination,目的地、行き先
disposal,（不要物の）処理、処分
economic,経済の、経済上の
urge,強く促す
extremely,きわめて、非常に
transport,~を輸送する
accurate,正確な
direction,方向、指示（書）
aware,気付いて
interruption,中断、（物事を）遮ること
crowded,混雑した
due to ~,~のせいで、~のおかげで
function,機能／機能する
ability,能力、才能
impact,影響
base,~の本拠地を置く／土台
amazing,驚くべき
attire,衣装、服装
popularity,人気
head,進む、を率いる
permit,許可証／許可する
whether,~かどうか
crop,作物、収穫量
relative,相対的な、関係のある／親戚
neighborhood,近所、地域
both A and B,AもBもどちらも
permanent,常設の、常雇用の、永久の
anticipate,~を予期する、期待する
slightly,わずかに、少し
value,価値／（物の価値）を評価する
complicated,複雑な
undergo,経験する
guarantee,保証する／保証
excerpt,抜粋、引用
mechanical,機械の
dentist,歯科医
native,出身の／出身の人
handling,取り扱い、出荷作業
occur,起こる、発生する、行われる
column,柱、コラム
findings,（研究・調査の）結果、わかったこと
retail,小売り、販売
exact,正確な
invoice,請求書、送り状
closely,蜜に、注意深く
reminder,再確認、お知らせ
loyal,忠実な
record,記録
promising,有望な
clearance,在庫一掃、清算、許可
commission,委託する、委任する／委員会、歩合
curb,縁石
committed,熱心に取り組む、献身的な
receptionist,受付係
comparison,比較
pesticide,殺虫剤
